name,suffix,debut_tour,date_added,debut_game,debut_system,is_reverse,is_trick
Los Angeles Laps,R/T,Los Angeles Tour,2020-09-23,Mario Kart Tour,Mobile,TRUE,TRUE
New York Minute 3,,1st Anniversary Tour,2020-10-07,Mario Kart Tour,Mobile,FALSE,FALSE
New York Minute 3,R,1st Anniversary Tour,2020-10-07,Mario Kart Tour,Mobile,TRUE,FALSE
New York Minute 3,T,1st Anniversary Tour,2020-10-07,Mario Kart Tour,Mobile,FALSE,TRUE
New York Minute 3,R/T,1st Anniversary Tour,2020-10-07,Mario Kart Tour,Mobile,TRUE,TRUE
Wii Maple Treeway,,Halloween Tour (2020),2020-10-21,Mario Kart Wii,Wii,FALSE,FALSE
Wii Maple Treeway,R,Halloween Tour (2020),2020-10-21,Mario Kart Wii,Wii,TRUE,FALSE
Wii Maple Treeway,T,Halloween Tour (2020),2020-10-21,Mario Kart Wii,Wii,FALSE,TRUE
GBA Sunset Wilds,,Sunset Tour,2020-11-04,Mario Kart: Super Circuit,GBA,FALSE,FALSE
GBA Sunset Wilds,R,Sunset Tour,2020-11-04,Mario Kart: Super Circuit,GBA,TRUE,FALSE
GBA Sunset Wilds,T,Sunset Tour,2020-11-04,Mario Kart: Super Circuit,GBA,FALSE,TRUE
GBA Sunset Wilds,R/T,Mario vs. Luigi Tour,2020-11-18,Mario Kart: Super Circuit,GBA,TRUE,TRUE
RMX Rainbow Road 1,R/T,Mario vs. Luigi Tour,2020-11-18,Mario Kart Tour,Mobile,TRUE,TRUE
Merry Mountain,,Winter Tour (2020),2020-12-02,Mario Kart Tour,Mobile,FALSE,FALSE
Merry Mountain,R,Winter Tour (2020),2020-12-02,Mario Kart Tour,Mobile,TRUE,FALSE
Merry Mountain,T,Winter Tour (2020),2020-12-02,Mario Kart Tour,Mobile,FALSE,TRUE
3DS Rosalina's Ice World,,Rosalina Tour,2020-12-16,Mario Kart 7,3DS,FALSE,FALSE
3DS Rosalina's Ice World,R,Rosalina Tour,2020-12-16,Mario Kart 7,3DS,TRUE,FALSE
3DS Rosalina's Ice World,T,Rosalina Tour,2020-12-16,Mario Kart 7,3DS,FALSE,TRUE
RMX Rainbow Road 2,,New Year's 2021 Tour,2020-12-30,Mario Kart Tour,Mobile,FALSE,FALSE
RMX Rainbow Road 2,R,New Year's 2021 Tour,2020-12-30,Mario Kart Tour,Mobile,TRUE,FALSE
RMX Rainbow Road 2,T,New Year's 2021 Tour,2020-12-30,Mario Kart Tour,Mobile,FALSE,TRUE
Berlin Byways 2,,Berlin Tour,2021-01-13,Mario Kart Tour,Mobile,FALSE,FALSE
Berlin Byways 2,R,Berlin Tour,2021-01-13,Mario Kart Tour,Mobile,TRUE,FALSE
